cases.0.samples.0.sample_type,cases.0.samples.1.sample_type,cases.0.submitter_id,file_id,file_name,id
Blood Derived Normal,Primary Tumor,TCGA-AO-A0JA,7d047f6f-21be-4c71-935b-4e567cb2087b,TCGA-BRCA.25822371-680d-4663-98ef-ebf79e6dff4d.ascat3.gene_level_copy_number.v36.tsv,7d047f6f-21be-4c71-935b-4e567cb2087b
Blood Derived Normal,Primary Tumor,TCGA-AO-A0JA,95e08769-4162-4a95-b31c-fe99af86e4a4,4bde2ec9-4d8b-40c5-bd5b-72ac6a7dd02e.wxs.VarScan2.aliquot.maf.gz,95e08769-4162-4a95-b31c-fe99af86e4a4
Primary Tumor,Blood Derived Normal,TCGA-E9-A1N9,96bb2b9f-5511-4373-adad-d5f4cc6fb8e8,7e8b1678-fc59-40f2-acc8-963a0158f12f.wxs.Pindel.aliquot.maf.gz,96bb2b9f-5511-4373-adad-d5f4cc6fb8e8
Primary Tumor,Blood Derived Normal,TCGA-BH-A0HK,89f1c08f-23a0-4870-9338-4a7e05c272fd,TCGA-BRCA.6a9b5a0c-ce6c-4445-8316-0b25795d23d1.ascat2.allelic_specific.seg.txt,89f1c08f-23a0-4870-9338-4a7e05c272fd
Blood Derived Normal,Primary Tumor,TCGA-A2-A04U,8b3c3cdc-06f5-47b8-8a0c-9e3f74cb61dd,d33d62e7-bc94-4604-80fb-2a5181793718.wxs.MuTect2.aliquot.maf.gz,8b3c3cdc-06f5-47b8-8a0c-9e3f74cb61dd
Blood Derived Normal,Primary Tumor,TCGA-5L-AAT0,26c7ce3b-d4d4-4795-a6a3-ff3a6f300120,eadb7ee4-5523-4e9f-9e65-58680be9d0b9.wxs.aliquot_ensemble_raw.maf.gz,26c7ce3b-d4d4-4795-a6a3-ff3a6f300120
Blood Derived Normal,Primary Tumor,TCGA-A2-A04U,82b5872d-2755-48c9-8f4d-9573ddf04303,TCGA-BRCA.544dd94e-abd8-4cca-98cf-d1c2c646f23a.ascat2.allelic_specific.seg.txt,82b5872d-2755-48c9-8f4d-9573ddf04303
Blood Derived Normal,Primary Tumor,TCGA-A2-A04U,79ff613d-d0da-4fc4-806a-bdf3e3afdd98,46d480cb-b52c-4515-91b0-1201b007b916.wxs.mutect2.raw_somatic_mutation.vcf.gz,79ff613d-d0da-4fc4-806a-bdf3e3afdd98
Primary Tumor,Blood Derived Normal,TCGA-AN-A04A,02c81467-2d45-4930-93a3-82b4077add88,1d46dac3-686e-445d-8d2a-77cff1f9989d.wxs.pindel.raw_somatic_mutation.vcf.gz,02c81467-2d45-4930-93a3-82b4077add88
Primary Tumor,Blood Derived Normal,TCGA-A8-A0A7,45cfe551-f4b9-4337-88d6-64f2952f9a03,af00574a-a191-44c4-9530-1a1bd557af4d.wxs.VarScan2.aliquot.maf.gz,45cfe551-f4b9-4337-88d6-64f2952f9a03
Primary Tumor,Blood Derived Normal,TCGA-AN-A04A,e038757a-8e07-4a8a-bf33-e82708cffb7e,TCGA_BRCA.669dc9e9-3fb7-4afa-9577-1e5ac02e868c.wxs.VarScan2.somatic_annotation.vcf.gz,e038757a-8e07-4a8a-bf33-e82708cffb7e
Primary Tumor,Blood Derived Normal,TCGA-A8-A0A7,2248cb13-d2ea-4867-9dd2-e2c0660db8ca,TCGA-BRCA.ea568589-43f0-4539-acdf-c626aeb20446.gene_level_copy_number.v36.tsv,2248cb13-d2ea-4867-9dd2-e2c0660db8ca
Primary Tumor,Blood Derived Normal,TCGA-A8-A0A7,d256b4db-1b62-4155-ab63-e63c59d80b02,TCGA-BRCA.ea568589-43f0-4539-acdf-c626aeb20446.ascat2.allelic_specific.seg.txt,d256b4db-1b62-4155-ab63-e63c59d80b02
Primary Tumor,Blood Derived Normal,TCGA-BH-A0HK,85ed7569-1cc8-4344-8e7a-14ee5fbec25f,6e1c743b-7167-4efe-af3c-2074543cbcf4.wxs.aliquot_ensemble_masked.maf.gz,85ed7569-1cc8-4344-8e7a-14ee5fbec25f
Blood Derived Normal,Primary Tumor,TCGA-5L-AAT0,25ec8bf7-bab9-485c-829c-293360bbca67,95f1cac3-a48f-4888-a981-cc9bc27bc2cb.wxs.MuTect2.aliquot.maf.gz,25ec8bf7-bab9-485c-829c-293360bbca67
Blood Derived Normal,Primary Tumor,TCGA-A2-A04U,685aada7-b285-4cd0-8f37-4cd5c27882f3,34811660-5a23-4815-acb1-5dbb0d2bdd25.wxs.aliquot_ensemble_masked.maf.gz,685aada7-b285-4cd0-8f37-4cd5c27882f3
